index,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
0,Snow White and the Seven Dwarfs,"Dec 21, 1937",Musical,G,184925485,2147483648
1,Pinocchio,"Feb 9, 1940",Adventure,G,84300000,2147483648
2,Fantasia,"Nov 13, 1940",Musical,G,83320000,2147483648
3,Song of the South,"Nov 12, 1946",Adventure,G,65000000,1078510579
4,Cinderella,"Feb 15, 1950",Drama,G,85000000,920608730
5,"20,000 Leagues Under the Sea","Dec 23, 1954",Adventure,,28200000,528279994
6,Lady and the Tramp,"Jun 22, 1955",Drama,G,93600000,1236035515
7,Sleeping Beauty,"Jan 29, 1959",Drama,,9464608,21505832
8,101 Dalmatians,"Jan 25, 1961",Comedy,G,153000000,1362870985
9,The Absent Minded Professor,"Mar 16, 1961",Comedy,,25381407,310094574
10,Babes in Toyland,"Dec 14, 1961",Musical,G,10218316,124841160
11,Bon Voyage!,"May 17, 1962",Comedy,Not Rated,9230769,109581646
12,The Sword in the Stone,"Dec 25, 1963",Adventure,,22182353,153870834
13,The Jungle Book,"Oct 18, 1967",Musical,Not Rated,141843000,789612346
14,Blackbeard's Ghost,"Feb 8, 1968",Comedy,,21540050,138612686
15,The Aristocats,"Apr 24, 1970",Musical,G,55675257,255161499
16,The Boatniks,"Jul 1, 1970",Comedy,,18607492,101200742
17,Bedknobs and Broomsticks,"Oct 7, 1971",Musical,,17871174,91305448
18,The Apple Dumpling Gang,"Jul 1, 1975",Comedy,,31916500,131246872
19,Freaky Friday,"Jan 21, 1977",Comedy,,25942000,98067733
20,The Many Adventures of Winnie the Pooh,"Mar 11, 1977",,,0,0
21,The Rescuers,"Jun 22, 1977",Adventure,,48775599,159743914
22,Herbie Goes to Monte Carlo,"Jun 24, 1977",,,28000000,105847527
23,The Black Hole,"Dec 21, 1979",,,35841901,120377374
24,Midnight Madness,"Feb 8, 1980",,,2900000,9088096
25,The Last Flight of Noah’s Ark,"Jun 25, 1980",,,11000000,34472116
26,The Devil and Max Devlin,"Jan 1, 1981",,,16000000,48517980
27,Amy,"Mar 20, 1981",Drama,,0,0
28,The Fox and the Hound,"Jul 10, 1981",Comedy,,43899231,133118889
29,Condorman,"Aug 7, 1981",Action,,0,0
30,Night Crossing,"Feb 5, 1982",Drama,,4500000,12903059
31,Tron,"Jul 9, 1982",Action,,26918576,77184895
32,Tex,"Nov 19, 1982",Drama,,7199408,20643199
33,Trenchcoat,"Mar 11, 1983",Comedy,,4304286,11519089
34,Something Wicked This Way Comes,"Apr 29, 1983",Horror,,5656087,15136765
35,Never Cry Wolf,"Oct 7, 1983",Drama,,27668764,70669955
36,Running Brave,"Nov 4, 1983",Drama,,1204595,3223725
37,Splash,"Mar 9, 1984",Comedy,PG,62599495,157057661
38,Country,"Sep 29, 1984",Drama,,8400000,21075000
39,Baby: Secret of the Lost Legend,"Mar 22, 1985",Adventure,,14276095,33900697
40,Return to Oz,"Jun 21, 1985",Adventure,,10618813,25215934
41,The Black Cauldron,"Jul 24, 1985",Adventure,,21288692,50553142
42,My Science Project,"Aug 9, 1985",Comedy,,4100000,9736051
43,The Journey of Natty Gann,"Sep 27, 1985",Drama,,9468512,22302956
44,One Magic Christmas,"Nov 22, 1985",Drama,,13229514,31415432
45,Down and Out in Beverly Hills,"Jan 31, 1986",Comedy,R,62134225,141183693
46,Off Beat,"Apr 11, 1986",Comedy,,4842778,11003932
47,Ruthless People,"Jun 27, 1986",Comedy,R,71624879,162748712
48,The Great Mouse Detective,"Jul 2, 1986",Adventure,,23605534,53637367
49,Flight of the Navigator,"Jul 30, 1986",Adventure,,18564613,42183197
50,Tough Guys,"Oct 3, 1986",Comedy,,21458229,48758184
51,The Color of Money,"Oct 17, 1986",Drama,R,52293000,117957323
52,Outrageous Fortune,"Jan 30, 1987",Comedy,R,52864741,113976921
53,Tin Men,"Mar 6, 1987",Comedy,,25411386,54787202
54,Ernest Goes to Camp,"May 22, 1987",Comedy,,23509382,50686462
55,Benji the Hunted,"Jun 5, 1987",Adventure,,15212539,32798382
56,Adventures in Babysitting,"Jul 3, 1987",Comedy,,33790923,72853569
57,Stakeout,"Aug 5, 1987",Comedy,R,65673233,141592160
58,Can't Buy Me Love,"Aug 14, 1987",Romantic Comedy,,31623833,68181300
59,Hello Again,"Nov 6, 1987",Comedy,,20419446,44024529
60,3 Men and a Baby,"Nov 25, 1987",Comedy,PG,167780960,353334607
61,Good Morning Vietnam,"Dec 23, 1987",Comedy,R,123922370,254414837
62,Shoot to Kill,"Feb 12, 1988",Action,,29300000,60097074
63,D.O.A.,"Mar 18, 1988",Thriller/Suspense,,12706478,26062188
64,Return to Snowy River,"Apr 15, 1988",Adventure,PG,13687027,28073384
65,Big Business,"Jun 10, 1988",Comedy,PG,40150487,82352451
66,Who Framed Roger Rabbit?,"Jun 22, 1988",Comedy,PG,154112492,316250084
67,Cocktail,"Jul 29, 1988",Drama,R,78222753,160442289
68,The Rescue,"Aug 5, 1988",Action,,5855392,12009960
69,Heartbreak Hotel,"Sep 30, 1988",Comedy,,5509417,11300331
70,The Good Mother,"Nov 4, 1988",Drama,,4764606,9772655
71,Ernest Saves Christmas,"Nov 11, 1988",Comedy,PG,28202109,57845202
72,Oliver & Company,"Nov 18, 1988",Adventure,G,49576671,102254492
73,Beaches,"Dec 21, 1988",Drama,PG-13,57041866,120381757
74,Three Fugitives,"Jan 27, 1989",Comedy,PG-13,40590000,85757817
75,New York Stories,"Mar 1, 1989",Drama,PG,10763469,22740861
76,Disorganized Crime,"Apr 14, 1989",Comedy,,7210149,15233465
77,Dead Poets Society,"Jun 2, 1989",Drama,PG,95860116,202531517
78,"Honey, I Shrunk the Kids","Jun 23, 1989",Adventure,PG,130724172,276191669
79,Turner & Hooch,"Jul 28, 1989",Comedy,PG,71079915,150176361
80,Cheetah,"Aug 18, 1989",Adventure,,7882250,16653473
81,An Innocent Man,"Oct 6, 1989",Drama,R,19397847,40983414
82,Gross Anatomy,"Oct 20, 1989",Drama,PG-13,11346186,23972012
83,The Little Mermaid,"Nov 15, 1989",Adventure,G,111543479,223726012
84,Blaze,"Dec 13, 1989",Drama,R,19049727,39884640
85,Stella,"Feb 2, 1990",Drama,PG-13,20062347,40077147
86,Where the Heart Is,"Feb 23, 1990",Comedy,,1106475,2210321
87,Pretty Woman,"Mar 23, 1990",Romantic Comedy,R,178406268,356389765
88,Ernest Goes to Jail,"Apr 6, 1990",Comedy,PG,25029569,49999822
89,Spaced Invaders,"Apr 27, 1990",Comedy,PG,15000000,29964452
90,Fire Birds,"May 24, 1990",Action,PG-13,14760451,29485923
91,Dick Tracy,"Jun 15, 1990",Action,PG,103738726,207231621
92,Betsy's Wedding,"Jun 22, 1990",Comedy,R,19740070,39433357
93,Arachnophobia,"Jul 18, 1990",Thriller/Suspense,PG-13,53208180,106290270
94,DuckTales: The Movie - Treasure of th…,"Aug 3, 1990",Adventure,G,18075331,36107823
95,Taking Care of Business,"Aug 17, 1990",Comedy,R,20005435,39963460
96,Mr. Destiny,"Oct 12, 1990",Comedy,PG-13,15379253,30722056
97,The Rescuers Down Under,"Nov 16, 1990",Adventure,G,27931461,55796728
98,3 Men and a Little Lady,"Nov 21, 1990",Comedy,PG,71609321,143108869
99,Green Card,"Dec 25, 1990",Romantic Comedy,PG-13,29804169,59679131
100,White Fang,"Jan 18, 1991",Adventure,PG,34729091,69540672
101,Scenes from a Mall,"Feb 22, 1991",Comedy,,9563393,19149495
102,Haakon Haakonsen,"Mar 1, 1991",Adventure,PG,15024232,30084149
103,The Marrying Man,"Apr 5, 1991",Romantic Comedy,R,12454768,24939118
104,Oscar,"Apr 26, 1991",Comedy,PG,23562716,47181395
105,One Good Cop,"May 3, 1991",Action,R,11276846,22580472
106,What About Bob?,"May 17, 1991",Comedy,PG,63710000,127571325
107,Wild Hearts Can't Be Broken,"May 24, 1991",Drama,,7300000,14617333
108,The Rocketeer,"Jun 21, 1991",Action,PG,46573027,93256673
109,The Doctor,"Jul 24, 1991",Drama,PG-13,37497480,75084021
110,Paradise,"Sep 18, 1991",Drama,PG-13,18634643,37313540
111,Deceived,"Sep 27, 1991",Thriller/Suspense,PG-13,28738096,57544453
112,Ernest Scared Stupid,"Oct 11, 1991",Comedy,PG,14143280,28320147
113,Billy Bathgate,"Nov 1, 1991",Drama,R,15565363,31167691
114,Beauty and the Beast,"Nov 13, 1991",Musical,G,218951625,363017667
115,Father of the Bride,"Dec 20, 1991",Comedy,PG,89325780,179821881
116,The Hand That Rocks the Cradle,"Jan 10, 1992",Thriller/Suspense,R,88036683,178831137
117,Medicine Man,"Feb 7, 1992",Drama,PG-13,44948240,91304495
118,Blame it on the Bellboy,"Mar 6, 1992",Comedy,PG-13,2891055,5872667
119,Noises Off...,"Mar 20, 1992",Comedy,PG-13,2280148,4631720
120,Straight Talk,"Apr 3, 1992",Comedy,PG,21202099,43068356
121,Newsies,"Apr 8, 1992",,PG,2706352,5497481
122,Passed Away,"Apr 24, 1992",,PG-13,4030793,8187848
123,Encino Man,"May 22, 1992",Comedy,PG,40057130,81369058
124,Sister Act,"May 29, 1992",Comedy,PG,139605150,283583472
125,Honey I Blew Up the Kid,"Jul 17, 1992",Comedy,PG,58662452,119162518
126,A Stranger Among Us,"Jul 17, 1992",Drama,PG-13,12282994,24950752
127,3 Ninjas,"Aug 7, 1992",Action,PG,29028000,58965304
128,A Gun in Betty Lou's Handbag,"Aug 21, 1992",,PG-13,3591460,7295423
129,Captain Ron,"Sep 18, 1992",Comedy,PG-13,22518097,45741576
130,Sarafina!,"Sep 18, 1992",Drama,PG-13,7306242,14841352
131,Innocent Blood,"Sep 25, 1992",Horror,R,4877567,9907922
132,The Mighty Ducks,"Oct 2, 1992",Comedy,PG,50752337,103120810
133,1492: Conquest of Paradise,"Oct 9, 1992",Adventure,PG-13,7099531,14421454
134,Consenting Adults,"Oct 16, 1992",Drama,R,21591728,43859823
135,Aladdin,"Nov 11, 1992",Comedy,G,217350219,441969178
136,The Distinguished Gentleman,"Dec 4, 1992",Comedy,R,46434570,94349900
137,The Muppet Christmas Carol,"Dec 11, 1992",Comedy,G,27281507,55417615
138,Alive,"Jan 15, 1993",Adventure,R,36299670,73914543
