index,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
0,Snow White and the Seven Dwarfs,"Dec 21, 1937",Musical,G,184925485.0,5228953251.0
1,Pinocchio,"Feb 9, 1940",Adventure,G,84300000.0,2188229052.0
2,Fantasia,"Nov 13, 1940",Musical,G,83320000.0,2187090808.0
3,Song of the South,"Nov 12, 1946",Adventure,G,65000000.0,1078510579.0
4,Cinderella,"Feb 15, 1950",Drama,G,85000000.0,920608730.0
5,"20,000 Leagues Under the Sea","Dec 23, 1954",Adventure,,28200000.0,528279994.0
6,Lady and the Tramp,"Jun 22, 1955",Drama,G,93600000.0,1236035515.0
7,Sleeping Beauty,"Jan 29, 1959",Drama,,9464608.0,21505832.0
8,101 Dalmatians,"Jan 25, 1961",Comedy,G,153000000.0,1362870985.0
9,The Absent Minded Professor,"Mar 16, 1961",Comedy,,25381407.0,310094574.0
10,Babes in Toyland,"Dec 14, 1961",Musical,G,10218316.0,124841160.0
11,Bon Voyage!,"May 17, 1962",Comedy,Not Rated,9230769.0,109581646.0
12,The Sword in the Stone,"Dec 25, 1963",Adventure,,22182353.0,153870834.0
13,The Jungle Book,"Oct 18, 1967",Musical,Not Rated,141843000.0,789612346.0
14,Blackbeard's Ghost,"Feb 8, 1968",Comedy,,21540050.0,138612686.0
15,The Aristocats,"Apr 24, 1970",Musical,G,55675257.0,255161499.0
16,The Boatniks,"Jul 1, 1970",Comedy,,18607492.0,101200742.0
17,Bedknobs and Broomsticks,"Oct 7, 1971",Musical,,17871174.0,91305448.0
18,The Apple Dumpling Gang,"Jul 1, 1975",Comedy,,31916500.0,131246872.0
19,Freaky Friday,"Jan 21, 1977",Comedy,,25942000.0,98067733.0
20,The Many Adventures of Winnie the Pooh,"Mar 11, 1977",,,0.0,0.0
21,The Rescuers,"Jun 22, 1977",Adventure,,48775599.0,159743914.0
22,Herbie Goes to Monte Carlo,"Jun 24, 1977",,,28000000.0,105847527.0
23,The Black Hole,"Dec 21, 1979",,,35841901.0,120377374.0
24,Midnight Madness,"Feb 8, 1980",,,2900000.0,9088096.0
25,The Last Flight of Noah’s Ark,"Jun 25, 1980",,,11000000.0,34472116.0
26,The Devil and Max Devlin,"Jan 1, 1981",,,16000000.0,48517980.0
27,Amy,"Mar 20, 1981",Drama,,0.0,0.0
28,The Fox and the Hound,"Jul 10, 1981",Comedy,,43899231.0,133118889.0
29,Condorman,"Aug 7, 1981",Action,,0.0,0.0
30,Night Crossing,"Feb 5, 1982",Drama,,4500000.0,12903059.0
31,Tron,"Jul 9, 1982",Action,,26918576.0,77184895.0
32,Tex,"Nov 19, 1982",Drama,,7199408.0,20643199.0
33,Trenchcoat,"Mar 11, 1983",Comedy,,4304286.0,11519089.0
34,Something Wicked This Way Comes,"Apr 29, 1983",Horror,,5656087.0,15136765.0
35,Never Cry Wolf,"Oct 7, 1983",Drama,,27668764.0,70669955.0
36,Running Brave,"Nov 4, 1983",Drama,,1204595.0,3223725.0
37,Splash,"Mar 9, 1984",Comedy,PG,62599495.0,157057661.0
38,Country,"Sep 29, 1984",Drama,,8400000.0,21075000.0
39,Baby: Secret of the Lost Legend,"Mar 22, 1985",Adventure,,14276095.0,33900697.0
40,Return to Oz,"Jun 21, 1985",Adventure,,10618813.0,25215934.0
41,The Black Cauldron,"Jul 24, 1985",Adventure,,21288692.0,50553142.0
42,My Science Project,"Aug 9, 1985",Comedy,,4100000.0,9736051.0
43,The Journey of Natty Gann,"Sep 27, 1985",Drama,,9468512.0,22302956.0
44,One Magic Christmas,"Nov 22, 1985",Drama,,13229514.0,31415432.0
45,Down and Out in Beverly Hills,"Jan 31, 1986",Comedy,R,62134225.0,141183693.0
46,Off Beat,"Apr 11, 1986",Comedy,,4842778.0,11003932.0
47,Ruthless People,"Jun 27, 1986",Comedy,R,71624879.0,162748712.0
48,The Great Mouse Detective,"Jul 2, 1986",Adventure,,23605534.0,53637367.0
49,Flight of the Navigator,"Jul 30, 1986",Adventure,,18564613.0,42183197.0
50,Tough Guys,"Oct 3, 1986",Comedy,,21458229.0,48758184.0
51,The Color of Money,"Oct 17, 1986",Drama,R,52293000.0,117957323.0
52,Outrageous Fortune,"Jan 30, 1987",Comedy,R,52864741.0,113976921.0
53,Tin Men,"Mar 6, 1987",Comedy,,25411386.0,54787202.0
54,Ernest Goes to Camp,"May 22, 1987",Comedy,,23509382.0,50686462.0
55,Benji the Hunted,"Jun 5, 1987",Adventure,,15212539.0,32798382.0
56,Adventures in Babysitting,"Jul 3, 1987",Comedy,,33790923.0,72853569.0
57,Stakeout,"Aug 5, 1987",Comedy,R,65673233.0,141592160.0
58,Can't Buy Me Love,"Aug 14, 1987",Romantic Comedy,,31623833.0,68181300.0
59,Hello Again,"Nov 6, 1987",Comedy,,20419446.0,44024529.0
60,3 Men and a Baby,"Nov 25, 1987",Comedy,PG,167780960.0,353334607.0
61,Good Morning Vietnam,"Dec 23, 1987",Comedy,R,123922370.0,254414837.0
62,Shoot to Kill,"Feb 12, 1988",Action,,29300000.0,60097074.0
63,D.O.A.,"Mar 18, 1988",Thriller/Suspense,,12706478.0,26062188.0
64,Return to Snowy River,"Apr 15, 1988",Adventure,PG,13687027.0,28073384.0
65,Big Business,"Jun 10, 1988",Comedy,PG,40150487.0,82352451.0
66,Who Framed Roger Rabbit?,"Jun 22, 1988",Comedy,PG,154112492.0,316250084.0
67,Cocktail,"Jul 29, 1988",Drama,R,78222753.0,160442289.0
68,The Rescue,"Aug 5, 1988",Action,,5855392.0,12009960.0
69,Heartbreak Hotel,"Sep 30, 1988",Comedy,,5509417.0,11300331.0
70,The Good Mother,"Nov 4, 1988",Drama,,4764606.0,9772655.0
71,Ernest Saves Christmas,"Nov 11, 1988",Comedy,PG,28202109.0,57845202.0
72,Oliver & Company,"Nov 18, 1988",Adventure,G,49576671.0,102254492.0
73,Beaches,"Dec 21, 1988",Drama,PG-13,57041866.0,120381757.0
74,Three Fugitives,"Jan 27, 1989",Comedy,PG-13,40590000.0,85757817.0
75,New York Stories,"Mar 1, 1989",Drama,PG,10763469.0,22740861.0
76,Disorganized Crime,"Apr 14, 1989",Comedy,,7210149.0,15233465.0
77,Dead Poets Society,"Jun 2, 1989",Drama,PG,95860116.0,202531517.0
78,"Honey, I Shrunk the Kids","Jun 23, 1989",Adventure,PG,130724172.0,276191669.0
79,Turner & Hooch,"Jul 28, 1989",Comedy,PG,71079915.0,150176361.0
80,Cheetah,"Aug 18, 1989",Adventure,,7882250.0,16653473.0
81,An Innocent Man,"Oct 6, 1989",Drama,R,19397847.0,40983414.0
